,City,Latitude,Longitude,Cloudiness,Wind Speed,Temperature,Humidity
480,Maralal,1.1,36.7,100,3.07,289.38,84
481,Presidencia Roque Saenz Pena,-26.79,-60.44,0,1.97,294.87,55
482,Tiksi,71.64,128.87,100,3.76,245.62,85
483,Gladstone,-23.84,151.26,13,6.7,304.26,51
484,Cape Canaveral,28.41,-80.6,1,3.6,297.04,94
485,Indiaroba,-11.53,-37.51,100,0.9,297.55,90
486,Dongsheng,29.72,112.52,99,0.85,280.76,73
487,Turinsk,58.04,63.7,100,5.83,266.95,89
488,Surgut,61.25,73.4,40,5.0,262.15,92
489,Lima,-12.06,-77.04,20,5.7,295.15,83
490,Shache,38.42,77.24,100,1.46,268.92,60
491,Laredo,27.51,-99.51,1,5.7,288.15,47
492,Anadyr,64.73,177.51,0,3.0,238.15,66
493,Bowling Green,36.99,-86.44,90,3.1,285.15,87
494,Serro,-18.6,-43.38,100,1.42,292.05,96
495,North Bend,43.41,-124.22,90,5.7,288.15,71
496,Sirjan,29.44,55.67,35,4.15,281.42,80
497,Gizo,31.8,34.94,75,7.7,284.15,57
498,Mabaruma,8.2,-59.78,0,0.71,293.04,97
499,Praia da Vitoria,38.73,-27.07,40,7.87,286.15,82
500,Port Blair,11.67,92.75,0,5.75,300.69,77
501,Palanga,44.45,25.08,0,3.16,277.59,68
502,Yeppoon,-23.13,150.74,3,5.7,305.15,31
503,Rio Grande,-32.03,-52.1,2,1.34,294.82,72
504,Barberton,-25.78,31.05,41,0.5,294.26,93
505,Nueva Guinea,11.69,-84.46,100,2.4,294.92,94
506,Amapa,15.09,-87.97,20,1.05,299.15,74
507,Tateyama,36.66,137.31,75,1.0,282.59,86
508,Uyuni,-20.46,-66.82,46,4.94,285.91,63
509,Port-Cartier,50.03,-66.88,90,2.1,267.59,85
510,Luzhou,28.89,105.45,100,1.04,284.87,55
511,Vihti,60.42,24.32,40,4.6,275.93,80
512,Surt,31.21,16.59,7,6.44,283.21,73
513,Qingdao,36.09,120.35,33,1.0,280.15,42
514,Baglung,28.27,83.59,19,1.21,273.79,53
515,Celestun,20.87,-90.4,43,6.02,299.15,78
516,Necochea,-38.55,-58.74,0,6.12,291.5,72
517,Vostok,46.45,135.83,0,1.76,255.58,83
518,Luanda,-8.83,13.24,75,2.1,298.15,94
519,Ostroleka,53.09,21.58,40,3.1,278.15,100
520,Lorengau,-2.02,147.27,94,2.67,302.43,72
521,Margate,-43.03,147.26,40,9.8,296.15,18
522,Buckeye,33.37,-112.58,1,3.1,284.82,75
523,Atherton,-17.27,145.48,75,6.2,302.04,88
524,Marmande,44.5,0.16,90,1.5,282.15,100
525,Vila Velha,-3.71,-38.6,40,2.1,303.15,78
526,Madang,35.32,102.79,100,0.98,272.22,55
527,Saint Anthony,43.97,-111.68,1,0.93,271.15,85
528,Tevaitoa,-16.78,-151.5,0,4.83,300.74,76
529,Sarangarh,21.6,83.08,0,1.21,290.15,81
530,Tabou,4.42,-7.36,0,1.32,293.5,68
531,Banfora,10.64,-4.75,25,3.4,288.64,15
532,Ruston,32.52,-92.64,90,2.6,287.59,76
533,Xingyi,24.19,102.82,96,1.96,288.07,86
534,Esso,55.93,158.7,92,2.07,262.05,96
535,Norden,53.59,7.21,75,5.1,278.71,86
536,Aldan,58.61,125.39,100,3.84,257.33,91
537,Kargasok,59.06,80.87,62,6.43,260.63,88
538,Neuquen,-38.95,-68.06,40,3.6,302.15,17
539,Cacule,-14.5,-42.22,100,0.84,293.7,97
540,Taitung,22.76,121.15,75,2.6,296.15,69
541,Kijang,35.24,129.21,100,5.1,279.15,28
542,Padang,-0.92,100.36,41,1.59,300.15,64
543,Abu Samrah,35.3,37.18,86,3.51,280.01,82
544,Iskateley,67.68,53.15,100,8.95,274.29,98
545,Redlands,34.06,-117.19,1,1.3,290.15,74
